utility_acct_number,n,ParticipantID,tenure,payment_method,leave_reason,kwh_solar,Churn,Default,solar_farm,count_user_id
1001,46,257,22,ach,0,8.135703824247356,0,0,Farm A,2
1006,252,220,22,ach,0,9.053295362082995,0,0,Farm A,2
1031,48,557,23,ach,0,3.0107241659886084,0,0,Farm B,2
1038,104,47,23,ach,0,9.875183075671277,0,0,Farm B,2
1064,46,398,23,ach,0,13.81920260374288,0,0,Farm B,2
1068,46,507,22,ach,0,6.262302685109845,0,0,Farm B,2
1077,120,271,23,ach,Moving out of service territory,10.386981285598047,1,0,Farm B,2
1082,72,523,23,ach,0,20.65353946297803,0,0,Farm B,2
1093,72,405,23,ach,0,6.653702196908055,0,0,Farm B,2
1099,72,356,23,ach,0,5.027908868999186,0,0,Farm B,2
1102,160,134,23,ach,0,2.6795443449959317,0,0,Farm B,2
1107,48,107,23,ach,0,4.485980471928397,0,0,Farm B,2
1132,75,555,24,ach,0,8.098844589096826,0,0,Farm B,2
1154,44,384,22,ach,0,6.171985353946297,0,0,Farm B,2
1166,69,600,23,ach,0,5.660162733930025,0,0,Farm B,2
1173,14,453,7,ach,Health Issues,26.705126118795768,1,0,Farm B,2
1181,48,532,23,ach,0,6.954776240846217,0,0,Farm B,2
1182,96,47,23,ach,0,7.707453213995117,0,0,Farm B,2
1184,50,582,24,ach,0,2.1075101708706265,0,0,Farm B,2
1185,215,212,24,ach,0,14.93319772172498,0,0,Farm B,2
1191,50,290,25,ach,0,10.838567941415786,0,0,Farm B,2
1194,78,600,23,ach,0,9.453702196908056,0,0,Farm B,2
1201,84,202,25,ach,0,4.215012205044752,0,0,Farm B,2
1211,50,310,24,ach,0,3.492441008950366,0,0,Farm B,2
1218,69,588,22,ach,0,11.26013018714402,0,0,Farm B,2
1221,52,83,23,ach,0,5.208551668022783,0,0,Farm B,2
1235,72,304,22,ach,0,7.768681855166801,0,0,Farm A,2
1239,100,104,22,ach,0,13.058421480878762,0,0,Farm A,2
1243,162,476,22,ach,0,23.244833197721725,0,0,Farm A,2
1251,54,472,22,ach,0,11.347192839707079,0,0,Farm A,2
1258,78,593,22,ach,0,4.159609438567942,0,0,Farm A,2
1263,96,421,22,ach,0,4.710146460537023,0,0,Farm A,2
1266,60,562,18,ach,0,5.444190398698129,0,0,Farm A,2
1272,54,45,21,ach,0,8.930919446704639,0,0,Farm A,2
1274,72,594,22,ach,0,11.31659886086249,0,0,Farm A,2
1275,30,283,14,ach,No Longer Interested,7.37106590724166,1,0,Farm A,2
1292,48,324,22,ach,0,4.4654597233523194,0,0,Farm A,2
1308,46,508,21,ach,0,8.196908055329537,0,0,Farm A,2
1313,78,492,22,ach,0,2.844434499593165,0,0,Farm A,2
1316,115,71,22,ach,0,9.726118795768917,0,0,Farm A,2
1321,40,569,20,ach,0,4.893653376729048,0,0,Farm A,2
1324,42,224,21,ach,0,6.147656631407648,0,0,Farm A,2
1340,48,316,22,ach,0,6.698193653376729,0,0,Farm A,2
1352,46,332,21,ach,Moving out of service territory,5.566533767290481,1,0,Farm A,2
1355,36,272,17,ach,Moving out of service territory,3.793515052888527,1,0,Farm B,2
1403,46,6,22,ach,0,5.688877135882832,0,0,Farm A,2
1410,46,328,22,ach,0,8.105117982099268,0,0,Farm A,2
1420,72,359,22,ach,0,6.789943043124492,0,0,Farm A,2
1439,42,558,20,ach,0,8.808543531326283,0,0,Farm A,2
1440,40,541,20,ach,0,1.8962896663954434,0,0,Farm A,2
1446,66,459,19,ach,Got Rooftop,18.034255492270137,1,0,Farm B,2
1457,28,568,14,ach,No Longer Interested,4.190195280716029,1,0,Farm A,2
1462,80,330,17,ach,Moving out of service territory,2.3483645240032547,1,0,Farm B,2
1466,40,560,20,ach,0,6.147656631407648,0,0,Farm A,2
1468,44,287,22,ach,0,3.0585353946297804,0,0,Farm A,2
1475,112,29,22,ach,0,7.585166802278275,0,0,Farm A,2
1476,72,379,22,ach,0,4.159609438567942,0,0,Farm A,2
1481,50,163,22,ach,0,12.815296989422295,0,0,Farm A,2
1504,75,266,24,ach,Defaulted Payment,7.376273393002442,1,1,Farm B,2
1506,72,319,21,ach,0,1.7433685923515052,0,0,Farm A,2
1524,75,266,23,ach,Defaulted Payment,1.2042880390561432,1,1,Farm B,2
1531,16,411,8,ach,Moving out of service territory,4.215012205044752,1,0,Farm B,2
1539,36,59,18,ach,0,2.5079983726607,0,0,Farm A,2
1555,115,14,22,ach,0,6.086484947111472,0,0,Farm A,2
1556,50,64,22,ach,0,2.3550691619202606,0,0,Farm A,2
1557,104,493,22,ach,0,7.523995117982099,0,0,Farm A,2
1559,72,432,22,ach,0,7.187558991049634,0,0,Farm A,2
1561,100,426,22,ach,0,1.9268755085435314,0,0,Farm A,2
1562,96,124,22,ach,0,2.110390561432059,0,0,Farm A,2
1604,46,175,23,ach,0,1.294613506916192,0,0,Farm B,2
1612,46,595,20,ach,0,6.942872253864931,0,0,Farm A,2
1613,40,595,20,ach,0,10.704882017900731,0,0,Farm A,2
1643,40,595,20,ach,0,8.441578519121238,0,0,Farm A,2
1655,40,595,20,ach,0,8.808543531326283,0,0,Farm A,2
1661,46,595,20,ach,0,18.137103336045566,0,0,Farm A,2
1663,42,595,20,ach,0,4.557217249796582,0,0,Farm A,2
1672,40,595,20,ach,0,29.698372660699757,0,0,Farm A,2
1679,40,595,20,ach,0,6.881700569568755,0,0,Farm A,2
1681,40,595,20,ach,0,14.252807160292921,0,0,Farm A,2
1682,46,595,20,ach,0,9.175589910496338,0,0,Farm A,2
1683,44,595,20,ach,0,16.69959316517494,0,0,Farm A,2
1684,40,595,20,ach,0,11.958909682668837,0,0,Farm A,2
1689,42,595,20,ach,0,5.352432872253865,0,0,Farm A,2
1691,40,595,20,ach,0,13.365825874694872,0,0,Farm A,2
1704,42,595,20,ach,0,1.8351179820992678,0,0,Farm A,2
1705,42,595,20,ach,0,6.759357200976404,0,0,Farm A,2
1707,50,595,20,ach,0,6.698193653376729,0,0,Farm A,2
1710,40,595,20,ach,0,7.738096013018715,0,0,Farm A,2
1711,44,595,20,ach,0,3.945508543531326,0,0,Farm A,2
1716,42,595,20,ach,0,8.34979658258747,0,0,Farm A,2
1718,38,595,18,ach,Churn,5.199511798209927,1,0,Farm A,2
1723,40,595,20,ach,0,5.99472742066721,0,0,Farm A,2
1725,44,595,20,ach,0,9.11440195280716,0,0,Farm A,2
1726,40,595,20,ach,0,14.069243287225385,0,0,Farm A,2
1727,42,595,20,ach,0,7.799259560618389,0,0,Farm A,2
1749,48,595,20,ach,0,7.340480065093573,0,0,Farm A,2
1752,44,595,20,ach,0,14.956224572823434,0,0,Farm A,2
1757,22,595,11,ach,Ineligible Meter,2.0186330349877952,1,0,Farm A,2
1758,42,595,20,ach,0,7.187558991049634,0,0,Farm A,2
1763,40,595,20,ach,0,6.759357200976404,0,0,Farm A,2
1764,44,595,20,ach,0,8.53327908868999,0,0,Farm A,2
1781,46,175,23,ach,0,8.941822620016273,0,0,Farm B,2
